TICKET_NMBR,no_of_times_reassigned,STATUS,PRIORITY,BUSINESS_COMPLETION_HRS
IN10188878,2,RESOLVED,Low,63.9
IN10188879,2,RESOLVED,Low,0.25
IN10188882,2,RESOLVED,High,0.38
IN10188886,2,RESOLVED,High,0.83
IN10188910,2,RESOLVED,Low,21.75
IN10188925,2,RESOLVED,Low,17.73
IN10188942,5,RESOLVED,Low,17.35
IN10188943,5,RESOLVED,Medium,255.46
IN10188949,2,RESOLVED,Low,4.43
IN10188954,2,RESOLVED,Medium,20.23
IN10188957,3,RESOLVED,Low,796.03
IN10188958,2,RESOLVED,Low,0.73
IN10188959,3,RESOLVED,Low,8.22
IN10188960,2,RESOLVED,Low,4.15
IN10188962,2,RESOLVED,Medium,30.7
IN10188963,2,RESOLVED,Low,1.17
IN10188966,2,RESOLVED,Low,0.55
IN10188969,2,RESOLVED,Low,0.65
IN10188975,2,RESOLVED,Low,5.83
IN10188979,2,RESOLVED,Low,317.72
IN10188995,2,RESOLVED,Low,10.7
IN10188997,2,RESOLVED,Low,5.03
IN10189001,4,RESOLVED,Medium,9.8
IN10189003,2,RESOLVED,Medium,13.78
IN10189004,2,RESOLVED,Low,1084.91
IN10189005,2,RESOLVED,Low,6.68
IN10189006,2,RESOLVED,Low,38.28
IN10189007,2,RESOLVED,Low,37.7
IN10189008,2,,Low,3.3
IN10189010,3,RESOLVED,Medium,393.98
IN10189011,2,RESOLVED,Low,0.6
IN10189013,2,RESOLVED,Low,37.85
IN10189014,2,RESOLVED,Low,3.89
IN10189015,4,RESOLVED,Low,1746.52
IN10189016,2,RESOLVED,Low,3.1
IN10189018,3,RESOLVED,Low,50.93
IN10189020,3,RESOLVED,Medium,16.95
IN10189025,4,RESOLVED,High,68.41
IN10189030,2,RESOLVED,Medium,30.12
IN10189036,2,RESOLVED,Medium,37.15
IN10189041,2,RESOLVED,Medium,39.45
IN10189044,2,RESOLVED,Low,20.75
IN10189045,2,RESOLVED,High,138.96
IN10189048,2,RESOLVED,Low,0.98
IN10189049,3,RESOLVED,Medium,32.18
IN10189051,2,RESOLVED,High,1.11
IN10189063,3,RESOLVED,Low,39.07
IN10189066,2,RESOLVED,Low,38.85
IN10189070,2,RESOLVED,Low,38.82
IN10189075,2,RESOLVED,Medium,3.63
IN10189080,2,RESOLVED,Low,38.87
IN10189088,2,RESOLVED,Low,38.95
IN10189090,2,RESOLVED,Low,56.17
IN10189091,2,RESOLVED,Low,56.18
IN10189095,3,RESOLVED,Medium,5.02
IN10189095,3,RESOLVED,Medium,5.02
IN10189100,2,RESOLVED,Low,0.97
IN10189111,3,RESOLVED,Low,22.38
IN10189112,3,RESOLVED,Medium,37.45
IN10189124,2,RESOLVED,Low,0.92
IN10189125,2,RESOLVED,Low,39.28
IN10189126,2,RESOLVED,Low,39.33
IN10189127,2,RESOLVED,Low,0.95
IN10189129,2,RESOLVED,Medium,2.75
IN10189131,3,RESOLVED,High,38.02
IN10189142,2,RESOLVED,Low,29.02
IN10189143,2,RESOLVED,Low,29.03
IN10189144,2,RESOLVED,Low,29.03
IN10189145,2,RESOLVED,Low,29.03
IN10189148,2,RESOLVED,Low,29.02
IN10189172,2,RESOLVED,Low,0.33
IN10189191,2,RESOLVED,Low,4.62
IN10189195,2,RESOLVED,Low,2.08
IN10189206,3,RESOLVED,Low,114.68
IN10189232,3,RESOLVED,Medium,10.75
IN10189236,2,RESOLVED,Medium,33.2
IN10189237,2,RESOLVED,Medium,6.73
IN10189237,2,RESOLVED,Medium,6.73
IN10189242,2,RESOLVED,Medium,1019.23
IN10189245,5,RESOLVED,Medium,13.17
IN10189249,2,RESOLVED,High,366.04
IN10189251,2,RESOLVED,Low,4.4
IN10189251,2,RESOLVED,Low,4.4
IN10189251,2,RESOLVED,Low,4.4
IN10189252,2,RESOLVED,Low,19.35
IN10189275,2,RESOLVED,Low,237.51
IN10189295,8,RESOLVED,Medium,438.36
IN10189302,2,RESOLVED,Low,7.2
IN10189305,3,RESOLVED,Medium,1201.7
IN10189328,2,RESOLVED,Low,6.05
IN10189328,2,RESOLVED,Low,6.05
IN10189328,2,RESOLVED,Low,6.05
IN10189329,2,RESOLVED,Low,0.15
IN10189330,3,RESOLVED,Low,28.38
IN10189331,2,RESOLVED,Medium,7.5
IN10189331,2,RESOLVED,Medium,7.5
IN10189332,2,RESOLVED,High,1.56
IN10189334,3,RESOLVED,High,46.53
IN10189335,2,RESOLVED,Low,3.87
IN10189340,2,RESOLVED,Medium,0.98
IN10189348,2,RESOLVED,Low,759.91
IN10189352,2,RESOLVED,High,23.92
IN10189354,2,RESOLVED,Medium,0.47
IN10189359,4,RESOLVED,Low,97.75
IN10189360,2,RESOLVED,Low,4.1
IN10189371,2,RESOLVED,Low,7.33
IN10189372,2,RESOLVED,Low,1073.56
IN10189374,3,RESOLVED,Medium,0.52
IN10189376,3,RESOLVED,Low,4.6
IN10189379,2,RESOLVED,High,20.33
IN10189381,5,RESOLVED,Medium,65.98
IN10189387,2,RESOLVED,Low,6.8
IN10189390,4,RESOLVED,Low,100.42
IN10189390,4,RESOLVED,Low,100.42
IN10189390,4,RESOLVED,Low,100.42
IN10189393,2,RESOLVED,Low,940.0
IN10189394,2,RESOLVED,Low,0.0
IN10189398,2,RESOLVED,Medium,14.17
IN10189401,4,RESOLVED,Medium,21.35
IN10189403,3,RESOLVED,High,400.94
IN10189411,2,RESOLVED,Low,0.98
IN10189417,2,RESOLVED,Low,2.25
IN10189422,2,RESOLVED,Low,46.6
IN10189425,4,RESOLVED,Low,104.37
IN10189429,2,RESOLVED,Low,5.5
IN10189432,4,RESOLVED,Medium,22.38
IN10189437,4,RESOLVED,Low,652.6
IN10189438,2,RESOLVED,Low,21.02
IN10189439,2,RESOLVED,Low,0.28
IN10189440,2,RESOLVED,Low,0.22
IN10189441,2,RESOLVED,Low,15.42
IN10189444,3,RESOLVED,Low,21.55
IN10189449,2,RESOLVED,Low,3.17
IN10189451,3,RESOLVED,Medium,23.47
IN10189455,2,RESOLVED,Low,3.22
IN10189457,2,RESOLVED,Medium,6.97
IN10189473,2,RESOLVED,Low,10.8
IN10189474,2,RESOLVED,Medium,21.19
IN10189478,2,RESOLVED,Low,0.27
IN10189494,3,RESOLVED,Low,992.7
IN10189495,8,RESOLVED,Low,1336.8
IN10189497,4,RESOLVED,Medium,107.62
IN10189497,4,RESOLVED,Medium,107.62
IN10189497,4,RESOLVED,Medium,107.62
IN10189500,2,RESOLVED,Low,86.42
IN10189502,4,RESOLVED,Medium,7.08
IN10189505,3,RESOLVED,Low,0.98
IN10189507,2,RESOLVED,Medium,40.43
IN10189512,7,RESOLVED,Low,42.4
IN10189516,2,RESOLVED,Low,546.46
IN10189518,2,RESOLVED,Medium,2.3
IN10189520,2,RESOLVED,Low,4.91
IN10189523,2,RESOLVED,Medium,301.75
IN10189527,2,RESOLVED,High,28.11
IN10189533,2,RESOLVED,Low,7.02
IN10189548,2,RESOLVED,Medium,61.42
IN10189549,4,RESOLVED,Low,498.42
IN10189550,3,RESOLVED,Low,6.97
IN10189553,3,RESOLVED,Medium,16.83
IN10189561,2,RESOLVED,Low,20.0
IN10189562,2,RESOLVED,Low,19.36
IN10189563,2,RESOLVED,Low,1108.28
IN10189565,2,RESOLVED,Medium,2.31
IN10189571,2,RESOLVED,Low,57.77
IN10189572,3,RESOLVED,Low,6.57
IN10189577,2,RESOLVED,Low,13.23
IN10189603,2,RESOLVED,Low,0.0
IN10189606,2,RESOLVED,Low,2.13
IN10189626,2,RESOLVED,Medium,15.57
IN10189631,2,RESOLVED,Low,5.4
IN10189632,2,RESOLVED,Low,6.67
IN10189633,2,RESOLVED,Low,6.68
IN10189634,2,RESOLVED,Low,6.7
IN10189635,4,RESOLVED,Low,14.48
IN10189636,2,RESOLVED,Low,0.5
IN10189637,2,RESOLVED,Low,0.5
IN10189638,2,RESOLVED,Low,5.37
IN10189639,4,RESOLVED,Low,5.35
IN10189640,2,RESOLVED,Low,6.73
IN10189641,3,RESOLVED,Low,6.75
IN10189642,2,RESOLVED,Low,5.25
IN10189650,2,RESOLVED,Low,1.68
IN10189660,2,RESOLVED,Medium,0.75
IN10189664,2,RESOLVED,Low,4.33
IN10189666,2,RESOLVED,Low,1290.77
IN10189669,5,RESOLVED,Low,391.41
IN10189671,3,RESOLVED,Medium,11.77
IN10189672,2,RESOLVED,Medium,33.97
IN10189691,4,RESOLVED,Low,42.75
IN10189700,2,RESOLVED,Low,1.02
IN10189712,2,RESOLVED,Low,0.17
IN10189713,3,RESOLVED,Low,26.67
IN10189719,2,RESOLVED,Medium,0.73
IN10189733,2,RESOLVED,Low,3.79
IN10189740,2,RESOLVED,Low,1.2
IN10189746,3,RESOLVED,Medium,45.5
IN10189747,2,RESOLVED,Medium,4.73
IN10189750,2,RESOLVED,Low,53.65
IN10189753,2,RESOLVED,Medium,2.52
IN10189761,3,RESOLVED,Low,1273.18
IN10189771,2,RESOLVED,Medium,16.48
IN10189775,5,RESOLVED,Low,48.82
IN10189782,2,RESOLVED,Medium,113.77
IN10189787,2,RESOLVED,Low,1.67
IN10189790,2,RESOLVED,Medium,30.45
IN10189792,2,RESOLVED,Low,1.12
IN10189793,2,RESOLVED,Low,1.75
IN10189795,2,RESOLVED,Low,1.93
IN10189797,2,RESOLVED,Low,11.0
IN10189799,2,RESOLVED,Low,21.08
IN10189805,3,RESOLVED,Low,164.13
IN10189807,2,RESOLVED,Low,18.45
IN10189813,4,RESOLVED,Low,163.27
IN10189816,3,RESOLVED,Low,106.92
IN10189817,2,RESOLVED,Low,12.78
IN10189822,2,RESOLVED,Medium,10.0
IN10189834,3,RESOLVED,Medium,9.9
IN10189835,2,RESOLVED,Medium,5.62
IN10189836,2,RESOLVED,Low,26.98
IN10189858,2,RESOLVED,Low,35.09
IN10189862,3,RESOLVED,Medium,38.73
IN10189864,2,RESOLVED,Low,5.63
IN10189869,2,RESOLVED,Low,1.63
IN10189873,2,RESOLVED,Low,103.33
IN10189881,2,RESOLVED,Low,0.72
IN10189885,2,RESOLVED,Medium,23.22
IN10189890,4,RESOLVED,Low,50.9
IN10189891,2,RESOLVED,Low,409.05
IN10189894,2,RESOLVED,Medium,466.65
IN10189897,2,RESOLVED,Low,2.27
IN10189898,2,RESOLVED,Medium,1636.76
IN10189901,3,RESOLVED,Low,3.77
IN10189913,2,RESOLVED,Low,2.12
IN10189914,2,RESOLVED,Low,4.95
IN10189919,2,RESOLVED,Low,2.4
IN10189922,2,RESOLVED,Medium,29.2
IN10189948,2,RESOLVED,Low,22.78
IN10189951,2,RESOLVED,Low,9.4
IN10189961,3,RESOLVED,Medium,498.13
IN10189964,2,RESOLVED,Low,4.35
IN10189966,3,RESOLVED,Low,145.18
IN10189982,2,RESOLVED,High,0.9
IN10189985,2,RESOLVED,Low,11.4
IN10189990,2,RESOLVED,Low,0.0
IN10190009,3,RESOLVED,Low,200.0
IN10190015,2,,Low,243.93
IN10190037,2,RESOLVED,Low,16.18
IN10190064,2,RESOLVED,Low,1184.75
IN10190077,3,RESOLVED,Low,2.78
IN10190078,7,RESOLVED,Low,110.98
IN10190083,2,RESOLVED,High,826.79
IN10190087,2,RESOLVED,Low,743.8
IN10190092,2,RESOLVED,High,1.62
IN10190096,2,RESOLVED,High,1.49
IN10190097,2,RESOLVED,Low,34.81
IN10190100,2,RESOLVED,Low,304.83
IN10190106,2,RESOLVED,Low,7.38
IN10190108,3,RESOLVED,Low,46.9
IN10190109,3,RESOLVED,Low,80.26
IN10190111,2,,Medium,2.08
IN10190116,2,RESOLVED,Low,6.29
IN10190121,3,RESOLVED,Low,139.32
IN10190122,2,RESOLVED,Low,17.7
IN10190127,2,RESOLVED,Low,6.97
IN10190130,3,RESOLVED,Low,19.07
IN10190137,3,RESOLVED,Medium,144.96
IN10190167,4,RESOLVED,Low,53.7
IN10190169,3,RESOLVED,Low,14.3
IN10190186,2,RESOLVED,Low,3.05
IN10190189,3,RESOLVED,Low,37.02
IN10190195,3,RESOLVED,Medium,5.88
IN10190196,3,RESOLVED,Medium,14.15
IN10190199,2,RESOLVED,Low,6.37
IN10190228,2,RESOLVED,Low,6.38
IN10190229,2,RESOLVED,Low,6.38
IN10190230,2,RESOLVED,Low,2.87
IN10190231,2,RESOLVED,Low,6.38
IN10190232,2,RESOLVED,Low,4.17
IN10190260,2,RESOLVED,Low,6.4
IN10190261,3,RESOLVED,Medium,19.52
IN10190264,2,RESOLVED,Low,0.32
IN10190265,2,RESOLVED,Medium,15.3
IN10190271,2,RESOLVED,Low,1.78
IN10190272,2,RESOLVED,Low,6.4
IN10190274,3,RESOLVED,Low,12.2
IN10190277,2,RESOLVED,Low,3.03
IN10190280,2,RESOLVED,Low,6.4
IN10190283,2,RESOLVED,Low,2.88
IN10190286,2,RESOLVED,Low,6.42
IN10190287,2,RESOLVED,Low,20.58
IN10190292,2,RESOLVED,Low,1.82
IN10190309,2,RESOLVED,Low,3.02
IN10190313,2,RESOLVED,Low,3.0
IN10190314,3,RESOLVED,Medium,7.85
IN10190316,2,RESOLVED,Low,2.95
IN10190317,2,RESOLVED,Medium,3.25
IN10190322,2,RESOLVED,Low,1.0
IN10190324,2,RESOLVED,High,63.46
IN10190329,2,RESOLVED,Low,1.8
IN10190332,2,RESOLVED,Low,2.93
IN10190340,2,RESOLVED,Medium,1.65
IN10190341,2,RESOLVED,Medium,1.55
IN10190342,3,RESOLVED,Medium,3.25
IN10190345,2,RESOLVED,Medium,2.37
IN10190372,2,RESOLVED,Low,2.92
IN10190380,2,RESOLVED,Low,2.9
IN10190383,4,RESOLVED,Low,7.53
IN10190393,3,RESOLVED,Low,73.63
IN10190394,2,RESOLVED,High,6.54
IN10190399,2,RESOLVED,Low,2.9
IN10190401,2,RESOLVED,Low,6.42
IN10190407,2,RESOLVED,Low,1.53
IN10190409,2,RESOLVED,Low,1.38
IN10190410,2,RESOLVED,Low,37.37
IN10190411,2,RESOLVED,Low,1.37
IN10190412,2,RESOLVED,Low,1.28
IN10190415,2,RESOLVED,Low,36.6
IN10190420,2,RESOLVED,Low,37.43
IN10190425,2,RESOLVED,Low,1.7
IN10190426,2,RESOLVED,Low,1.32
IN10190427,2,RESOLVED,Low,1.1
IN10190428,2,RESOLVED,Low,1.5
IN10190429,2,RESOLVED,Low,1.65
IN10190431,2,RESOLVED,Low,1.62
IN10190432,2,RESOLVED,Low,37.4
IN10190457,4,RESOLVED,Medium,101.85
IN10190460,2,RESOLVED,Low,3.23
IN10190463,2,RESOLVED,Medium,0.9
IN10190465,2,RESOLVED,Low,0.47
IN10190466,4,RESOLVED,Medium,35.74
IN10190467,2,RESOLVED,Medium,0.97
IN10190470,3,RESOLVED,Medium,10.23
IN10190476,2,RESOLVED,Medium,35.75
IN10190483,2,RESOLVED,Medium,14.72
IN10190485,2,RESOLVED,Medium,0.27
IN10190488,2,RESOLVED,Low,2.87
IN10190489,2,RESOLVED,Medium,42.12
IN10190490,2,RESOLVED,Low,4.12
IN10190493,3,RESOLVED,Low,20.74
IN10190503,2,RESOLVED,Medium,7.88
IN10190504,2,RESOLVED,Low,3.1
IN10190508,2,RESOLVED,Low,2.7
IN10190512,2,RESOLVED,Low,5.03
IN10190513,2,RESOLVED,Medium,1.98
IN10190526,3,RESOLVED,Low,1315.92
IN10190528,2,RESOLVED,Low,1.48
IN10190537,2,RESOLVED,Low,3.73
IN10190538,2,RESOLVED,Low,1.0
IN10190541,2,RESOLVED,Low,6.17
IN10190543,4,RESOLVED,Medium,316.37
IN10190544,2,RESOLVED,Low,76.98
IN10190546,2,RESOLVED,Low,3.58
IN10190547,2,RESOLVED,Low,5.49
IN10190568,2,RESOLVED,Low,0.27
IN10190568,2,RESOLVED,Low,0.27
IN10190568,2,RESOLVED,Low,0.27
IN10190571,3,RESOLVED,Low,1252.62
IN10190582,2,RESOLVED,Low,1.85
IN10190590,7,RESOLVED,Medium,176.43
IN10190592,4,RESOLVED,Low,141.27
IN10190598,2,RESOLVED,Medium,0.0
IN10190605,5,RESOLVED,Low,7.33
IN10190613,2,RESOLVED,Low,10.0
IN10190616,4,RESOLVED,Medium,57.43
IN10190631,2,RESOLVED,Low,17.48
IN10190649,2,RESOLVED,Low,49.02
IN10190666,3,RESOLVED,Low,1241.13
IN10190671,2,RESOLVED,Low,1.98
IN10190683,2,RESOLVED,Medium,110.23
IN10190687,2,RESOLVED,Low,0.07
IN10190689,2,RESOLVED,Medium,14.65
IN10190691,3,RESOLVED,Low,28.45
IN10190698,2,RESOLVED,Medium,21.94
IN10190700,2,RESOLVED,Medium,31.3
IN10190704,2,RESOLVED,Medium,125.67
IN10190704,2,RESOLVED,Medium,125.67
IN10190704,2,RESOLVED,Medium,125.67
IN10190708,2,RESOLVED,Low,4.13
IN10190721,2,RESOLVED,Low,1.78
IN10190735,2,RESOLVED,Low,9.79
IN10190737,2,RESOLVED,Low,937.96
IN10190740,5,RESOLVED,Low,10.21
IN10190748,3,RESOLVED,Low,23.01
IN10190754,2,RESOLVED,Low,1.87
IN10190758,2,RESOLVED,Medium,1.25
IN10190774,2,,Low,271.48
IN10190775,2,RESOLVED,Low,1.4
IN10190777,2,RESOLVED,Low,21.77
IN10190780,2,RESOLVED,Low,5.17
IN10190782,2,RESOLVED,Low,24.37
IN10190783,2,RESOLVED,Low,0.18
IN10190785,2,RESOLVED,Low,7.67
IN10190786,2,RESOLVED,Low,1.82
IN10190792,2,RESOLVED,Low,120.0
IN10190796,2,RESOLVED,Low,10.0
IN10190796,2,RESOLVED,Low,10.0
IN10190796,2,RESOLVED,Low,10.0
IN10190797,2,RESOLVED,Low,22.33
IN10190806,2,RESOLVED,Low,1.87
IN10190820,4,RESOLVED,Medium,1086.78
IN10190832,4,RESOLVED,Medium,282.05
IN10190833,4,RESOLVED,Low,820.9
IN10190834,2,RESOLVED,Low,7.52
IN10190845,2,RESOLVED,Medium,4.95
IN10190853,2,RESOLVED,Medium,20.8
IN10190856,4,RESOLVED,Low,70.2
IN10190861,2,RESOLVED,Low,27.97
IN10190866,2,RESOLVED,Low,0.6
IN10190870,2,RESOLVED,Low,300.73
IN10190874,3,RESOLVED,Low,36.95
IN10190875,6,RESOLVED,Low,630.45
IN10190890,2,RESOLVED,Low,40.85
IN10190891,2,RESOLVED,Low,1.3
IN10190895,2,RESOLVED,Low,3.83
IN10190897,2,RESOLVED,Low,465.5
IN10190916,2,RESOLVED,Low,406.8
IN10190920,2,RESOLVED,Low,1.38
IN10190930,5,RESOLVED,Low,15.18
IN10190931,5,RESOLVED,Medium,1915.11
IN10190944,2,RESOLVED,Low,0.2
IN10190962,2,RESOLVED,Low,56.33
IN10190965,2,RESOLVED,Low,9.18
IN10190971,2,RESOLVED,Low,0.0
IN10190972,2,RESOLVED,Low,0.0
IN10190974,4,RESOLVED,Low,4.23
IN10190975,2,RESOLVED,Low,50.12
IN10190976,2,RESOLVED,Low,14.92
IN10190977,3,RESOLVED,Medium,760.02
IN10190990,2,RESOLVED,Low,24.03
IN10191017,2,RESOLVED,Low,2.08
IN10191022,3,RESOLVED,Low,15.59
IN10191026,4,RESOLVED,Medium,108.71
IN10191034,2,RESOLVED,Low,4.05
IN10191036,2,RESOLVED,Medium,4.02
IN10191037,5,RESOLVED,Low,3.27
IN10191041,2,RESOLVED,Low,0.1
IN10191041,2,RESOLVED,Low,0.1
IN10191041,2,RESOLVED,Low,0.1
IN10191041,2,RESOLVED,Low,0.1
IN10191046,2,RESOLVED,Medium,8.42
IN10191048,3,RESOLVED,Medium,420.72
IN10191048,3,RESOLVED,Medium,420.72
IN10191048,3,RESOLVED,Medium,420.72
IN10191049,3,RESOLVED,Low,1.38
IN10191049,3,RESOLVED,Low,1.38
IN10191052,2,RESOLVED,Low,29.43
IN10191053,2,RESOLVED,Medium,999.47
IN10191076,3,RESOLVED,Low,45.75
IN10191079,2,RESOLVED,Low,0.93
IN10191084,2,RESOLVED,Low,1.52
IN10191084,2,RESOLVED,Low,1.52
IN10191084,2,RESOLVED,Low,1.52
IN10191093,2,RESOLVED,Low,1.4
IN10191095,2,RESOLVED,Medium,28.99
IN10191096,3,RESOLVED,Low,17.89
IN10191106,2,RESOLVED,Low,100.6
IN10191107,5,RESOLVED,Low,1974.33
IN10191110,2,RESOLVED,Low,77.7
IN10191113,2,RESOLVED,Medium,137.59
IN10191116,2,RESOLVED,Low,887.88
IN10191118,5,RESOLVED,Low,52.2
IN10191124,2,RESOLVED,Low,0.0
IN10191131,2,RESOLVED,High,0.49
IN10191138,3,,Medium,20.0
IN10191141,2,RESOLVED,Low,4.17
IN10191153,2,RESOLVED,Low,4.18
IN10191162,2,RESOLVED,Low,51.75
IN10191167,4,RESOLVED,Medium,1.87
IN10191171,2,RESOLVED,Medium,15.95
IN10191175,2,RESOLVED,Low,30.02
IN10191187,2,RESOLVED,Low,0.0
IN10191189,2,RESOLVED,Low,18.77
IN10191197,2,RESOLVED,Low,18.8
IN10191198,2,RESOLVED,Low,18.73
IN10191200,2,RESOLVED,Low,18.95
IN10191201,3,RESOLVED,Medium,0.0
IN10191201,3,RESOLVED,Medium,0.0
IN10191204,2,RESOLVED,Low,19.2
IN10191206,2,RESOLVED,Low,75.4
IN10191208,2,RESOLVED,Low,75.42
IN10191235,4,RESOLVED,Low,11.6
IN10191237,2,RESOLVED,Medium,0.0
IN10191257,2,RESOLVED,Low,0.0
IN10191258,2,RESOLVED,Low,0.0
IN10191267,2,RESOLVED,Low,4.25
IN10191268,2,RESOLVED,Low,4.28
IN10191269,2,RESOLVED,Low,4.28
IN10191270,2,RESOLVED,Low,0.15
IN10191271,2,RESOLVED,Low,75.48
IN10191292,2,RESOLVED,Low,4.08
IN10191293,2,RESOLVED,Low,19.4
IN10191294,2,RESOLVED,Low,19.42
IN10191300,2,RESOLVED,Low,0.0
IN10191301,2,RESOLVED,Medium,527.25
IN10191303,2,RESOLVED,Low,0.12
IN10191308,2,RESOLVED,Low,0.0
IN10191316,2,RESOLVED,Medium,0.95
IN10191319,4,RESOLVED,Low,4.3
IN10191320,2,RESOLVED,Low,75.48
IN10191323,2,RESOLVED,Medium,30.23
IN10191330,2,RESOLVED,Low,77.03
IN10191333,2,RESOLVED,Low,120.0
IN10191335,2,RESOLVED,Low,1.07
IN10191336,2,RESOLVED,Low,1.02
IN10191337,2,RESOLVED,Low,75.5
IN10191338,2,RESOLVED,Low,75.5
IN10191339,2,RESOLVED,Low,75.13
IN10191343,2,RESOLVED,Low,0.73
IN10191365,2,RESOLVED,Medium,0.0
IN10191376,2,RESOLVED,Medium,45.15
IN10191391,2,RESOLVED,Low,1.58
IN10191399,2,RESOLVED,Medium,3.92
IN10191405,2,RESOLVED,Medium,6.73
IN10191406,2,RESOLVED,Low,0.3
IN10191409,2,RESOLVED,Low,14.73
IN10191416,2,RESOLVED,Low,87.49
IN10191420,2,RESOLVED,Low,70.63
IN10191424,2,RESOLVED,Low,70.39
IN10191425,2,RESOLVED,Low,70.35
IN10191427,2,RESOLVED,Low,2.07
IN10191428,2,RESOLVED,Low,70.32
IN10191437,2,RESOLVED,Medium,166.8
IN10191441,3,RESOLVED,Medium,540.22
IN10191451,3,RESOLVED,Low,1.2
IN10191451,3,RESOLVED,Low,1.2
IN10191451,3,RESOLVED,Low,1.2
IN10191453,2,RESOLVED,Low,195.05
IN10191461,2,RESOLVED,Low,1.0
IN10191673,4,RESOLVED,Low,3691.98
IN10191679,2,RESOLVED,Low,4.1
IN10191734,4,RESOLVED,Low,8.77
IN10191759,4,RESOLVED,Low,3691.83
IN10191775,2,RESOLVED,Medium,7.83
IN10191789,2,RESOLVED,Medium,7.64
IN10191793,2,RESOLVED,Low,2.0
IN10191799,3,RESOLVED,High,45.48
IN10191800,3,RESOLVED,Low,8.4
IN10191805,3,RESOLVED,High,2.68
IN10191812,2,RESOLVED,Low,18.12
IN10191818,3,RESOLVED,Low,4.08
IN10191821,2,RESOLVED,Low,2.83
IN10191823,3,RESOLVED,Low,7.03
IN10191824,2,RESOLVED,Low,74.97
IN10191826,5,RESOLVED,Low,33.45
IN10191843,2,RESOLVED,Low,19.67
IN10191846,2,RESOLVED,Low,10.0
IN10191851,2,RESOLVED,Low,10.38
IN10191852,2,RESOLVED,Low,9.43
IN10191853,2,RESOLVED,Low,10.42
IN10191854,2,RESOLVED,Low,10.43
IN10191855,2,RESOLVED,Low,9.27
IN10191856,2,RESOLVED,Low,6.6
IN10191857,2,RESOLVED,Low,9.42
IN10191858,2,RESOLVED,Low,9.28
IN10191859,2,RESOLVED,Low,9.4
IN10191860,2,RESOLVED,Low,9.23
IN10191861,2,RESOLVED,Low,9.37
IN10191862,2,RESOLVED,Low,9.25
IN10191863,2,RESOLVED,Low,9.33
IN10191864,2,RESOLVED,Low,9.38
IN10191865,2,RESOLVED,Low,9.33
IN10191866,2,RESOLVED,Low,9.37
IN10191867,2,RESOLVED,Low,9.32
IN10191868,2,RESOLVED,Low,9.35
IN10191869,2,RESOLVED,Low,9.3
IN10191870,2,RESOLVED,Low,9.32
IN10191871,2,RESOLVED,Low,9.22
IN10191872,2,RESOLVED,Low,9.18
IN10191873,2,RESOLVED,Low,9.17
IN10191874,2,RESOLVED,Low,9.15
IN10191875,2,RESOLVED,Low,9.12
IN10191876,2,RESOLVED,Low,9.08
IN10191877,2,RESOLVED,Low,9.07
IN10191878,2,RESOLVED,Low,9.03
IN10191879,2,RESOLVED,Low,9.02
IN10191880,2,RESOLVED,Low,9.0
IN10191881,2,RESOLVED,Low,8.98
IN10191882,2,RESOLVED,Low,8.87
IN10191883,2,RESOLVED,Low,8.97
IN10191885,2,RESOLVED,Low,2.17
IN10191886,2,RESOLVED,Low,8.93
IN10191887,2,RESOLVED,Low,8.85
IN10191888,2,RESOLVED,Low,8.82
IN10191889,2,RESOLVED,Low,2.13
IN10191890,2,RESOLVED,Low,6.65
IN10191891,2,RESOLVED,Low,8.92
IN10191892,2,RESOLVED,Low,8.9
IN10191893,2,RESOLVED,Low,8.83
IN10191894,2,RESOLVED,Low,8.77
IN10191895,2,RESOLVED,Low,9.28
IN10191896,2,RESOLVED,Low,8.78
IN10191897,2,RESOLVED,Low,6.63
IN10191898,2,RESOLVED,Low,8.73
IN10191899,2,RESOLVED,Low,10.45
IN10191900,3,RESOLVED,High,128.19
IN10191908,2,RESOLVED,Low,0.0
IN10191909,2,RESOLVED,Medium,2.83
IN10191922,2,RESOLVED,Low,31.1
IN10191926,2,RESOLVED,Medium,145.42
IN10191932,3,RESOLVED,Low,14.22
IN10191939,2,RESOLVED,High,1702.49
IN10191943,2,RESOLVED,Low,2.8
IN10191955,2,RESOLVED,Medium,3.53
IN10191963,2,RESOLVED,Low,239.39
IN10191967,2,RESOLVED,Low,27.88
IN10191968,2,RESOLVED,Medium,8.41
IN10191968,2,RESOLVED,Medium,8.41
IN10191975,2,RESOLVED,Low,10.67
IN10191976,4,RESOLVED,Low,26.01
IN10191977,2,RESOLVED,Medium,13.98
IN10191991,3,RESOLVED,Medium,23.9
IN10191997,5,RESOLVED,Low,1196.31
IN10192002,2,RESOLVED,Low,1.05
IN10192012,3,RESOLVED,Low,83.8
IN10192014,2,RESOLVED,Low,2.2
IN10192023,3,RESOLVED,Low,2.92
IN10192023,3,RESOLVED,Low,2.92
IN10192023,3,RESOLVED,Low,2.92
IN10192029,3,RESOLVED,Low,82.1
IN10192034,2,RESOLVED,Low,13.4
IN10192038,2,RESOLVED,Low,19.53
IN10192040,2,RESOLVED,Low,0.95
IN10192041,2,RESOLVED,Low,0.93
IN10192043,3,RESOLVED,Low,0.0
IN10192045,3,RESOLVED,Low,0.9
IN10192046,2,RESOLVED,Low,0.87
IN10192047,2,RESOLVED,Low,0.85
IN10192048,2,RESOLVED,Low,0.98
IN10192049,2,RESOLVED,Low,0.82
